iter	Passed	Remaining
197	461	1868
198	462	1860
199	463	1853
200	464	1846
201	465	1838
202	466	1832
203	468	1827
204	470	1823
205	472	1819
206	473	1812
207	474	1805
208	475	1799
209	476	1793
210	477	1786
211	479	1782
212	480	1775
213	481	1769
214	482	1763
215	485	1761
216	486	1755
217	487	1749
218	488	1743
219	490	1737
220	491	1730
221	492	1724
222	493	1717
223	493	1711
224	495	1705
225	496	1699
226	497	1694
227	499	1690
228	500	1685
229	502	1681
230	503	1675
231	504	1669
232	505	1663
233	506	1658
234	508	1655
235	509	1650
236	510	1644
237	512	1639
238	513	1634
239	515	1632
240	516	1628
241	518	1622
242	519	1616
243	520	1612
244	522	1608
245	523	1604
246	524	1599
247	525	1594
248	527	1590
249	529	1588
250	530	1584
251	533	1582
252	534	1578
253	535	1573
254	536	1568
255	537	1563
256	539	1560
257	541	1557
258	544	1556
259	548	1560
260	549	1556
261	550	1551
262	552	1547
263	554	1545
264	555	1539
265	556	1536
266	560	1537
267	561	1534
268	562	1529
269	563	1524
270	564	1519
271	565	1514
272	566	1509
273	567	1504
274	569	1500
275	570	1495
276	572	1493
277	574	1492
278	576	1490
279	577	1486
280	578	1481
281	579	1476
282	580	1471
283	581	1466
284	583	1463
285	584	1459
286	586	1455
287	589	1456
288	591	1456
289	593	1452
290	594	1447
291	595	1443
292	596	1439
293	597	1435
294	598	1431
295	600	1427
296	602	1426
297	605	1425
298	606	1422
299	607	1418
300	609	1414
301	610	1410
302	611	1405
303	612	1401
304	613	1398
305	615	1395
306	618	1395
307	620	1393
308	622	1391
309	623	1387
310	624	1384
311	626	1381
312	628	1378
313	629	1375
314	633	1377
315	635	1376
316	637	1373
317	638	1369
318	640	1366
319	641	1362
320	642	1358
321	643	1355
322	647	1357
323	649	1355
324	651	1353
325	653	1350
326	654	1346
327	655	1343
328	656	1339
329	659	1338
330	662	1338
331	665	1339
332	667	1336
333	668	1333
334	669	1329
335	670	1326
336	672	1322
337	674	1320
338	678	1322
339	679	1319
340	681	1316
341	683	1314
342	684	1310
343	685	1307
344	686	1303
345	688	1300
346	691	1300
347	692	1298
348	694	1294
349	695	1291
350	696	1287
351	697	1283
352	698	1280
353	699	1276
354	700	1273
355	702	1270
356	703	1267
357	707	1268
358	709	1267
359	711	1264
360	712	1261
361	713	1257
362	714	1254
363	715	1250
364	716	1246
365	718	1244
366	720	1243
367	723	1242
368	724	1239
369	726	1236
370	727	1232
371	728	1229
372	729	1226
373	731	1224
374	737	1228
375	739	1227
376	741	1225
377	742	1221
378	743	1219
379	745	1216
380	747	1213
381	748	1210
382	749	1206
383	750	1203
384	751	1200
385	752	1197
386	754	1194
387	755	1191
388	756	1187
389	757	1184
390	758	1181
391	760	1178
392	761	1175
393	762	1172
394	764	1171
395	767	1170
396	769	1168
397	770	1165
398	772	1162
399	773	1160
400	774	1157
401	776	1154
402	777	1152
403	781	1152
404	783	1150
405	785	1148
406	787	1146
407	788	1143
408	789	1140
409	790	1138
410	794	1138
411	798	1138
412	800	1138
413	802	1135
414	804	1133
415	805	1130
416	806	1127
417	807	1124
418	810	1123
419	812	1121
420	813	1119
421	814	1116
422	816	1113
423	817	1110
424	818	1107
425	819	1104
426	820	1101
427	822	1099
428	824	1098
429	826	1095
430	828	1094
431	830	1091
432	831	1088
433	832	1085
434	833	1082
435	834	1079
436	835	1076
437	837	1074
438	839	1072
439	840	1069
440	842	1067
441	843	1064
442	844	1061
443	845	1058
444	846	1055
445	848	1053
446	849	1050
447	850	1047
448	851	1045
449	854	1044
450	855	1041
451	857	1039
452	858	1036
453	859	1033
454	860	1031
455	861	1028
456	863	1025
457	864	1022
458	865	1020
459	867	1017
460	869	1016
461	870	1013
462	871	1011
463	873	1008
464	874	1006
465	875	1003
466	876	1000
467	877	997
468	879	995
469	882	995
470	884	993
471	886	992
472	888	989
473	889	986
474	890	984
475	892	982
476	893	979
477	894	977
478	895	974
479	897	972
480	900	971
481	901	968
482	902	966
483	904	964
484	906	962
485	907	960
486	909	957
487	910	955
488	912	953
489	914	951
490	915	948
491	917	947
492	919	945
493	920	942
494	921	939
495	922	937
496	923	935
497	925	932
498	926	930
499	929	929
500	930	926
501	931	924
502	932	921
503	933	919
504	935	916
505	936	914
506	937	911
507	938	909
508	939	906
509	941	904
510	943	902
511	944	900
512	945	897
513	946	895
514	948	893
515	949	890
516	950	888
517	951	885
518	952	883
519	954	881
520	956	879
521	957	877
522	959	874
523	960	872
524	961	870
525	963	868
526	964	865
527	965	863
528	966	860
529	968	858
530	969	856
531	971	854
532	973	852
533	974	850
534	975	848
535	976	845
536	977	843
537	979	840
538	980	838
539	981	835
540	982	833
541	983	831
542	984	828
543	986	826
544	987	824
545	989	822
546	990	819
547	991	817
548	992	815
549	993	812
550	995	810
551	996	808
552	997	806
553	998	804
554	1000	802
555	1002	800
556	1005	799
557	1006	797
558	1007	795
559	1008	792
560	1009	790
561	1011	788
562	1012	786
563	1014	783
564	1016	782
565	1017	780
566	1019	778
567	1020	775
568	1021	773
569	1022	771
570	1024	769
571	1025	767
572	1026	764
573	1027	762
574	1028	760
575	1029	758
576	1031	756
577	1033	754
578	1034	752
579	1035	749
580	1036	747
581	1037	745
582	1038	742
583	1039	740
584	1040	738
585	1041	735
586	1042	733
587	1044	731
588	1045	729
589	1047	727
590	1048	725
591	1050	723
592	1051	721
593	1052	719
594	1053	716
595	1054	714
596	1055	712
597	1057	710
598	1058	708
599	1059	706
600	1061	704
601	1062	702
602	1064	700
603	1065	698
604	1065	695
605	1068	694
606	1070	693
607	1072	691
608	1073	689
609	1075	687
610	1077	685
611	1078	683
612	1079	681
613	1080	679
614	1082	677
615	1083	675
616	1084	673
617	1085	670
618	1086	668
619	1091	669
620	1094	668
621	1097	667
622	1099	665
623	1100	663
624	1102	661
625	1103	659
626	1105	657
627	1107	655
628	1109	654
629	1110	652
630	1111	650
631	1112	648
632	1114	646
633	1115	643
634	1116	641
635	1117	639
636	1117	637
637	1119	634
638	1120	633
639	1122	631
640	1123	629
641	1124	627
642	1125	624
643	1126	622
644	1127	620
645	1128	618
646	1129	616
647	1130	614
648	1131	612
649	1133	610
650	1134	608
651	1135	606
652	1137	604
653	1138	602
654	1139	600
655	1141	598
656	1141	596
657	1142	594
658	1143	591
659	1144	589
660	1145	587
661	1147	585
662	1148	583
663	1149	581
664	1151	580
665	1153	578
666	1154	576
667	1155	574
668	1156	572
669	1157	569
670	1158	567
671	1159	565
672	1160	563
673	1161	561
674	1162	559
675	1163	557
676	1165	555
677	1166	554
678	1168	552
679	1169	550
680	1170	548
681	1171	546
682	1172	544
683	1173	542
684	1174	540
685	1175	538
686	1176	536
687	1177	534
688	1179	532
689	1180	530
690	1181	528
691	1183	526
692	1184	524
693	1185	522
694	1187	520
695	1189	519
696	1190	517
697	1191	515
698	1192	513
699	1193	511
700	1196	510
701	1198	508
702	1199	506
703	1200	504
704	1201	502
705	1202	500
706	1203	498
707	1204	496
708	1205	494
709	1206	492
710	1207	490
711	1208	488
712	1210	487
713	1211	485
714	1213	483
715	1214	481
716	1215	479
717	1216	477
718	1217	475
719	1218	473
720	1219	471
721	1220	469
722	1221	468
723	1222	466
724	1223	464
725	1225	462
726	1226	460
727	1228	458
728	1229	457
729	1230	455
730	1231	453
731	1232	451
732	1233	449
733	1234	447
734	1235	445
735	1236	443
736	1237	441
737	1238	439
738	1241	438
739	1242	436
740	1244	434
741	1245	432
742	1245	430
743	1248	429
744	1249	427
745	1250	425
746	1251	423
747	1253	422
748	1255	420
749	1256	418
750	1258	417
751	1260	415
752	1261	413
753	1262	411
754	1263	410
755	1264	408
756	1266	406
757	1267	404
758	1269	402
759	1270	401
760	1271	399
761	1273	397
762	1274	395
763	1275	394
764	1276	392
765	1277	390
766	1278	388
767	1280	386
768	1281	384
769	1282	383
770	1283	381
771	1284	379
772	1287	378
773	1288	376
774	1290	374
775	1292	373
776	1293	371
777	1295	369
778	1296	367
779	1297	365
780	1299	364
781	1300	362
782	1302	360
783	1303	359
784	1305	357
785	1306	355
786	1307	353
787	1308	351
788	1309	350
789	1310	348
790	1312	346
791	1314	345
792	1315	343
793	1316	341
794	1318	340
795	1319	338
796	1321	336
797	1322	334
798	1323	332
799	1325	331
800	1326	329
801	1327	327
802	1328	325
803	1329	324
804	1331	322
805	1332	320
806	1333	319
807	1335	317
808	1336	315
809	1337	313
810	1338	311
811	1339	310
812	1340	308
813	1341	306
814	1342	304
815	1343	303
816	1345	301
817	1346	299
818	1347	297
819	1349	296
820	1350	294
821	1351	292
822	1352	290
823	1353	289
824	1354	287
825	1355	285
826	1356	283
827	1357	282
828	1358	280
829	1360	278
830	1361	276
831	1362	275
832	1363	273
833	1364	271
834	1365	269
835	1366	268
836	1367	266
837	1368	264
838	1369	262
839	1370	261
840	1371	259
841	1372	257
842	1374	255
843	1375	254
844	1376	252
845	1378	250
846	1379	249
847	1380	247
848	1381	245
849	1382	243
850	1383	242
851	1384	240
852	1385	238
853	1387	237
854	1388	235
855	1389	233
856	1390	232
857	1391	230
858	1392	228
859	1393	226
860	1394	225
861	1395	223
862	1396	221
863	1397	219
864	1398	218
865	1399	216
866	1401	214
867	1403	213
868	1404	211
869	1405	209
870	1405	208
871	1406	206
872	1407	204
873	1408	203
874	1409	201
875	1410	199
876	1411	197
877	1412	196
878	1413	194
879	1414	192
880	1415	191
881	1417	189
882	1419	188
883	1420	186
884	1420	184
885	1422	182
886	1423	181
887	1424	179
888	1425	177
889	1426	176
890	1427	174
891	1428	172
892	1430	171
893	1431	169
894	1433	168
895	1435	166
896	1436	164
897	1437	163
898	1438	161
899	1439	159
900	1441	158
901	1442	156
902	1443	155
903	1444	153
904	1446	151
905	1447	150
906	1448	148
907	1449	146
908	1450	145
909	1451	143
910	1452	141
911	1454	140
912	1454	138
913	1456	137
914	1457	135
915	1459	133
916	1463	132
917	1464	130
918	1466	129
919	1467	127
920	1468	125
921	1469	124
922	1470	122
923	1471	121
924	1472	119
925	1473	117
926	1475	116
927	1476	114
928	1478	112
929	1479	111
930	1480	109
931	1481	108
932	1482	106
933	1483	104
934	1484	103
935	1485	101
936	1486	99
937	1487	98
938	1488	96
939	1490	95
940	1491	93
941	1493	91
942	1494	90
943	1495	88
944	1496	87
945	1497	85
946	1498	83
947	1500	82
948	1501	80
949	1502	79
950	1503	77
951	1504	75
952	1506	74
953	1508	72
954	1510	71
955	1511	69
956	1512	67
957	1513	66
958	1514	64
959	1515	63
960	1517	61
961	1518	59
962	1520	58
963	1522	56
964	1524	55
965	1525	53
966	1526	52
967	1527	50
968	1528	48
969	1529	47
970	1530	45
971	1531	44
972	1532	42
973	1533	40
974	1534	39
975	1537	37
976	1539	36
977	1540	34
978	1542	33
979	1544	31
980	1545	29
981	1546	28
982	1547	26
983	1551	25
984	1553	23
985	1556	22
986	1557	20
987	1558	18
988	1559	17
989	1560	15
990	1562	14
991	1565	12
992	1569	11
993	1570	9
994	1571	7
995	1573	6
996	1575	4
997	1577	3
998	1578	1
999	1582	0
